Date,Temp
01/3/2003,0.418
01/4/2003,0.408
01/5/2003,0.439
01/6/2003,0.437
01/7/2003,0.457
01/8/2003,0.514
01/9/2003,0.499
01/10/2003,0.55
01/11/2003,0.419
01/12/2003,0.519
01/1/2004,0.496
01/2/2004,0.56
01/3/2004,0.501
01/4/2004,0.484
01/5/2004,0.323
01/6/2004,0.35
01/7/2004,0.38
01/8/2004,0.418
01/9/2004,0.442
01/10/2004,0.468
01/11/2004,0.521
01/12/2004,0.381
01/1/2005,0.452
01/2/2005,0.364
01/3/2005,0.493
01/4/2005,0.53
01/5/2005,0.476
01/6/2005,0.506
01/7/2005,0.532
01/8/2005,0.502
01/9/2005,0.498
01/10/2005,0.495
01/11/2005,0.478
01/12/2005,0.366
01/1/2006,0.32
01/2/2006,0.435
01/3/2006,0.38
01/4/2006,0.378
01/5/2006,0.352
01/6/2006,0.442
01/7/2006,0.456
01/8/2006,0.482
01/9/2006,0.425
01/10/2006,0.472
01/11/2006,0.44
01/12/2006,0.518
01/1/2007,0.601
01/2/2007,0.498
01/3/2007,0.435
01/4/2007,0.466
01/5/2007,0.372
01/6/2007,0.382
01/7/2007,0.394
01/8/2007,0.358
01/9/2007,0.402
01/10/2007,0.362
01/11/2007,0.266
01/12/2007,0.226
01/1/2008,0.074
01/2/2008,0.198
01/3/2008,0.447
01/4/2008,0.278
01/5/2008,0.283
01/6/2008,0.315
01/7/2008,0.406
01/8/2008,0.407
01/9/2008,0.378
01/10/2008,0.44
01/11/2008,0.394
01/12/2008,0.33
